"V1"	"Sub_id"	"tBodyAcc.mean...X"	"tBodyAcc.mean...Y"	"tBodyAcc.mean...Z"	"tBodyAcc.std...X"	"tBodyAcc.std...Y"	"tBodyAcc.std...Z"	"tGravityAcc.mean...X"	"tGravityAcc.mean...Y"	"tGravityAcc.mean...Z"	"tGravityAcc.std...X"	"tGravityAcc.std...Y"	"tGravityAcc.std...Z"	"tBodyAccJerk.mean...X"	"tBodyAccJerk.mean...Y"	"tBodyAccJerk.mean...Z"	"tBodyAccJerk.std...X"	"tBodyAccJerk.std...Y"	"tBodyAccJerk.std...Z"	"tBodyGyro.mean...X"	"tBodyGyro.mean...Y"	"tBodyGyro.mean...Z"	"tBodyGyro.std...X"	"tBodyGyro.std...Y"	"tBodyGyro.std...Z"	"tBodyGyroJerk.mean...X"	"tBodyGyroJerk.mean...Y"	"tBodyGyroJerk.mean...Z"	"tBodyGyroJerk.std...X"	"tBodyGyroJerk.std...Y"	"tBodyGyroJerk.std...Z"	"tBodyAccMag.mean.."	"tBodyAccMag.std.."	"tGravityAccMag.mean.."	"tGravityAccMag.std.."	"tBodyAccJerkMag.mean.."	"tBodyAccJerkMag.std.."	"tBodyGyroMag.mean.."	"tBodyGyroMag.std.."	"tBodyGyroJerkMag.mean.."	"tBodyGyroJerkMag.std.."	"fBodyAcc.mean...X"	"fBodyAcc.mean...Y"	"fBodyAcc.mean...Z"	"fBodyAcc.std...X"	"fBodyAcc.std...Y"	"fBodyAcc.std...Z"	"fBodyAcc.meanFreq...X"	"fBodyAcc.meanFreq...Y"	"fBodyAcc.meanFreq...Z"	"fBodyAccJerk.mean...X"	"fBodyAccJerk.mean...Y"	"fBodyAccJerk.mean...Z"	"fBodyAccJerk.std...X"	"fBodyAccJerk.std...Y"	"fBodyAccJerk.std...Z"	"fBodyAccJerk.meanFreq...X"	"fBodyAccJerk.meanFreq...Y"	"fBodyAccJerk.meanFreq...Z"	"fBodyGyro.mean...X"	"fBodyGyro.mean...Y"	"fBodyGyro.mean...Z"	"fBodyGyro.std...X"	"fBodyGyro.std...Y"	"fBodyGyro.std...Z"	"fBodyGyro.meanFreq...X"	"fBodyGyro.meanFreq...Y"	"fBodyGyro.meanFreq...Z"	"fBodyAccMag.mean.."	"fBodyAccMag.std.."	"fBodyAccMag.meanFreq.."	"fBodyBodyAccJerkMag.mean.."	"fBodyBodyAccJerkMag.std.."	"fBodyBodyAccJerkMag.meanFreq.."	"fBodyBodyGyroMag.mean.."	"fBodyBodyGyroMag.std.."	"fBodyBodyGyroMag.meanFreq.."	"fBodyBodyGyroJerkMag.mean.."	"fBodyBodyGyroJerkMag.std.."	"fBodyBodyGyroJerkMag.meanFreq.."	"Actname"
"1"	1	1	0.234780479395833	-0.0435622452041667	-0.0852008280416667	-0.928994429791667	-0.827342672520833	-0.871429010091667	0.0365652194791667	0.52127522175	0.546022695395833	-0.917001667291667	-0.905886833916667	-0.912486646458333	0.0750482509583333	0.006415084668125	-0.00288108696291667	-0.94870194	-0.916124908958333	-0.955561061041667	-0.0316356673395833	-0.070051469175	0.111964238375	-0.893843550854167	-0.941378405833333	-0.916857421666667	-0.094924301375	-0.0491678606770833	-0.0638954874375	-0.929536048333333	-0.963843327708333	-0.958927424791667	-0.864958041729167	-0.833238089208333	-0.864958041729167	-0.833238089208333	-0.947081536458333	-0.92276978375	-0.873495145229167	-0.84319909625	-0.96178161875	-0.94253927125	-0.934417339583333	-0.8593074964375	-0.903542417291667	-0.927417260208333	-0.823735870520833	-0.865286228979167	-0.09185665741875	0.145255435104167	0.254266610791667	-0.948536226458333	-0.916789154791667	-0.948672921875	-0.953681771041667	-0.921961136041667	-0.961312432708333	0.147338272666667	0.0303496244541667	0.10727336875	-0.872213128964583	-0.945145110208333	-0.91676453625	-0.901505578125	-0.939723345416667	-0.92493634875	0.131303388828333	-0.0202402846270833	0.0540001472083333	-0.877738054895833	-0.840027698041667	0.279076733104167	-0.926791018958333	-0.917639425833333	0.296936656604167	-0.877545593958333	-0.849235914375	0.0081180053325	-0.948575951041667	-0.939418782291667	0.197820911229167	"WALKING"
"2"	2	1	0.271131919583333	-0.0082023590155	-0.1053527448	-0.746834225266667	-0.7332882359	-0.785114609333333	0.8044163685	-0.0586492341666667	0.137553858103333	-0.965829092166667	-0.950808445333333	-0.954715273833333	0.0597516859833333	0.0101274380428333	0.00537892311236667	-0.757435524673333	-0.7777604239	-0.829532999333333	-0.01965619811	-0.0901533320833333	0.0777559913833333	-0.855639111666667	-0.78084245565	-0.755542517648333	-0.100255696683333	-0.0474467935416667	-0.0446985758283333	-0.8702850145	-0.81040235115	-0.8180256295	-0.729801604014667	-0.731584646816667	-0.729801604014667	-0.731584646816667	-0.774677745551667	-0.757259276416667	-0.745509965216667	-0.784963484916667	-0.823131831833333	-0.8312815785	-0.739620109778333	-0.735230083236667	-0.79069121455	-0.750690916368333	-0.749947310011667	-0.8006179275	-0.0706427508283333	0.096497441805	0.210108048683333	-0.762302610466667	-0.781183841333333	-0.8130432455	-0.774411922205	-0.790050537216667	-0.844567028833333	0.139420769483333	-0.0443782199816667	0.08416481966	-0.8313199295	-0.7663887087	-0.73574574055	-0.864341895	-0.79306338845	-0.785617149	-0.042210626925	0.0447803785116667	0.0167668891733333	-0.720675433516667	-0.781250634166667	0.219874708866667	-0.7400440016	-0.782152882821667	0.31123547819	-0.782032445383333	-0.829413938333333	0.075856880801	-0.825012353983333	-0.852160581333333	0.245431889333333	"WALKING_UPSTAIRS"
"3"	3	1	0.265681336352941	-0.0171943537307059	-0.102473892117647	-0.598376623964706	-0.395197318612941	-0.421995941375294	0.913855496705882	-0.288476139776471	-0.0152419876129412	-0.969453278117647	-0.954682734588235	-0.930668766	0.0890038383517647	0.00616221708352941	-0.0322137714112706	-0.650780812752941	-0.618164341149412	-0.813743649294118	0.0210339537883529	-0.129647983255294	0.0708446121517647	-0.728410453294118	-0.415665577674118	-0.684569511952941	-0.113591031854118	-0.0360429943329412	-0.0435571306831765	-0.767171688941176	-0.760099367176471	-0.749264857882353	-0.470808445329412	-0.562872059482353	-0.470808445329412	-0.562872059482353	-0.667856686835294	-0.668849283924706	-0.474302964781176	-0.501725001221176	-0.75377026	-0.787616980117647	-0.624321598552941	-0.507605654835294	-0.653476959647059	-0.589450086658823	-0.381344248910588	-0.364985400595294	-0.207340565727412	-0.0497463499929412	-0.177992278070588	-0.669718322376471	-0.640279140129412	-0.800520940705882	-0.662353931199647	-0.619760442062353	-0.825324170117647	-0.0822934613917647	-0.295592115303529	-0.246110632292941	-0.693565880588235	-0.599509848658824	-0.651831468352941	-0.741905873411765	-0.332523530847059	-0.725412073529412	-0.136832726704706	-0.315301392622353	-0.0520821973494118	-0.583657533658824	-0.620545288242353	0.0421392695838824	-0.648763555505882	-0.698489445011765	0.209092898555294	-0.604251401670588	-0.523361152035294	-0.138294766916	-0.778220971764706	-0.816782239529412	0.227195478545882	"WALKING_DOWNSTAIRS"
"4"	4	1	0.264158059423729	-0.0142648968589831	-0.132867407932203	-0.509112149322034	-0.264297883727119	-0.438812094864407	0.716629057474576	0.0197051617966102	-0.0275521648474576	-0.967689550169492	-0.972519971864407	-0.906103103915254	0.0703593080559322	0.0130479667762712	-0.013509183570678	-0.433338795664407	-0.306351049262712	-0.672632217457627	-0.0197591999542373	-0.0806679621440678	0.0970519886084746	-0.630353225254237	-0.371697475018644	-0.550805269661017	-0.105734999688136	-0.0384717386084746	-0.0469311299813559	-0.473309857288136	-0.553684678135593	-0.593348114067797	-0.386316144455932	-0.445491124932203	-0.386316144455932	-0.445491124932203	-0.43724997479661	-0.421539316135593	-0.42494916879661	-0.438239388694915	-0.54271230440678	-0.558811238983051	-0.476951528033898	-0.289525208401695	-0.518171594237288	-0.52342328559322	-0.298307767364746	-0.442345699542373	-0.173164492238983	0.0606691031813559	0.0289731726277966	-0.469901872032373	-0.369959840943068	-0.645711988983051	-0.446168849576271	-0.283635945594576	-0.69842059559322	-0.058052090420339	-0.192801657169492	-0.126276946525424	-0.538811471338983	-0.41118246730678	-0.497914789830508	-0.660365479322034	-0.354038103132203	-0.611020690508475	0.00324234283050848	-0.0465765109983051	0.00568525477118644	-0.408340138657627	-0.558854833118644	0.0858763767118644	-0.403865363320339	-0.448835313237288	0.192757081291525	-0.461793855554237	-0.521182229050847	0.106867567355932	-0.553564061694915	-0.597117046271186	0.160519488881356	"SITTING"
"5"	5	1	0.283358960638298	-0.016052593287234	-0.110098585489362	-0.257362790234043	0.0887146321042553	-0.277130061276596	0.935768794468085	-0.275743272765957	-0.0677446734255319	-0.971163839787234	-0.966472108297872	-0.939306361276596	0.0838135600787234	0.0256309492319149	0.0188501057361702	-0.113038482068085	0.0428072126531915	-0.494186010638298	-0.059131509047234	-0.0548503381191489	0.0802128899340425	-0.46810132893617	-0.0829775743946809	-0.312942916021277	-0.0879778444085106	-0.0333498834680851	-0.0567017234851064	-0.254144505425532	-0.307598431787234	-0.392210728723404	-0.134316804978723	-0.18861815693617	-0.134316804978723	-0.18861815693617	-0.14949503393617	-0.068171650787234	-0.156523949431915	-0.197010546893617	-0.311674385319149	-0.327446420489362	-0.188563853404255	0.0819074662702128	-0.337844606170213	-0.288153524582979	0.022302126363617	-0.301728520212766	-0.242175952851064	0.108120745610638	0.0732540825446809	-0.156563355234043	-0.0505474067617021	-0.461068080638298	-0.147009077021277	0.0740860962531915	-0.525353132765957	-0.203717020044681	-0.391885847659574	-0.187909421042553	-0.343176639489362	-0.111433411604255	-0.222148530425532	-0.508825687446809	-0.0737121541085106	-0.409072146808511	-0.0181602310382979	-0.0464861322680851	-0.0256714065319149	-0.100784028361702	-0.369441185680851	0.177222061914894	-0.0540805802851064	-0.0924629438702128	0.0726502833906383	-0.197436288404255	-0.338885475106383	0.263354336148936	-0.318163716489362	-0.388444024468085	0.180368238457234	"STANDING"
"6"	6	1	0.274444646041667	-0.0147649101372917	-0.110157792447917	-0.145698184102688	0.0234994629833333	-0.222873406645833	0.92726904625	-0.28815577	-0.06781748991875	-0.957572627916667	-0.949318606458333	-0.905460444791667	0.0814189211875	0.0488162369583333	-0.0144899703125	-0.10205241525625	-0.0830571051020833	-0.441493020291667	-0.04977378046875	-0.0714990422916667	0.0911699524635417	-0.476781349041667	-0.0685752562375	-0.262400326875	-0.064533358369375	-0.049329631325	-0.0306708243458333	-0.404302174520833	-0.282089157208333	-0.38280012983125	-0.062089354875	-0.116849783610417	-0.062089354875	-0.116849783610417	-0.161090779479167	-0.0910293659175	-0.11588994168125	-0.168973511958333	-0.3254151530625	-0.329907283395833	-0.10975843601875	0.0147141894866667	-0.294725069166667	-0.16304382580625	-0.0391665870625	-0.252794216604167	-0.307984713395833	0.0583854244645833	0.112913410015	-0.138613013110417	-0.13633833085625	-0.39876025875	-0.145543105772917	-0.0875011073458333	-0.482710527083333	-0.257845266208333	-0.3870144635625	-0.13469893296875	-0.367486491391667	-0.0736794324541667	-0.181281566452083	-0.5145053283125	-0.0800379290041667	-0.359262847708333	-0.0540032710895833	-0.0263428416354167	-0.0947526334310417	-0.0460391058979167	-0.2989700478125	0.119362992041667	-0.0578319945470833	-0.142460386095833	0.0819152415625	-0.18156487290625	-0.3106432848125	0.222128652395833	-0.31993069968125	-0.392531384666667	0.150751426097917	"LAYING"
"7"	1	2	0.281373403958333	-0.0181587397583333	-0.107245610416667	-0.974059464791667	-0.98027739875	-0.984233296875	-0.509754238125	0.752536639375	0.646834879583333	-0.959014441458333	-0.988211865208333	-0.984230418125	0.0825972511666667	0.012254788451875	-0.00180264895625	-0.98587216875	-0.98317254125	-0.988442014375	-0.01847660675	-0.111800824583333	0.144882846104167	-0.988275232916667	-0.982291608958333	-0.960306560416667	-0.101974134208333	-0.0358590176083333	-0.0701783020833333	-0.993235849166667	-0.989567537916667	-0.98803582125	-0.977435485208333	-0.972873912916667	-0.977435485208333	-0.972873912916667	-0.987741696041667	-0.98551807625	-0.950011569583333	-0.961164053958333	-0.991767074166667	-0.989718095208333	-0.976725059791667	-0.979800877916667	-0.984380981875	-0.973246482083333	-0.981025105625	-0.984792185	-0.146482792591667	0.2572894655	0.402532553395833	-0.985813630833333	-0.982768250416667	-0.986197134583333	-0.987250255833333	-0.984987392916667	-0.989345368541667	0.159808328563875	0.1212064240125	0.190558218145833	-0.9864311425	-0.983321635416667	-0.9626718875	-0.988860685833333	-0.981910616458333	-0.963174222291667	0.10261131938125	0.04228066839375	0.0552985986479167	-0.975110196458333	-0.975121387916667	0.2662982125	-0.985374114791667	-0.984568489166667	0.3417585745	-0.972112972708333	-0.96109837875	0.01856447223125	-0.990248702291667	-0.989492660416667	0.264801505395833	"WALKING"
"8"	2	2	0.27708735173913	-0.0156879937282609	-0.109218272456522	-0.986822279565217	-0.950704499130435	-0.95982817173913	0.940477273043478	-0.105630024498783	0.19872676876087	-0.979988760869565	-0.956750273043478	-0.954415873043478	0.0722564387173913	0.0116954511323913	0.00760546929869565	-0.988055854130435	-0.977983955434783	-0.98751821173913	-0.0454706620434783	-0.0599286797043478	0.0412277462173913	-0.985742027826087	-0.978919526956522	-0.959803708695652	-0.0936328412826087	-0.0415602029130435	-0.04358509665	-0.989709023043478	-0.990889614782609	-0.985542325652174	-0.967893623913043	-0.953081444130435	-0.967893623913043	-0.953081444130435	-0.986774713043478	-0.984475868043478	-0.946035087173913	-0.961313624130435	-0.991081493913043	-0.989594919565217	-0.985803840652174	-0.957343498478261	-0.970162172608696	-0.98736209	-0.950073754130435	-0.956862864130435	0.08519282071	0.150193956163043	0.0960646759586957	-0.987848793695652	-0.977139702826087	-0.985129050217391	-0.989459107391304	-0.980804228478261	-0.988570804130435	0.305546818084783	0.0262448647134783	0.0929030630369565	-0.982621389565217	-0.982100923695652	-0.959814822391304	-0.986808501521739	-0.977356188695652	-0.963522659782609	0.130523120891304	-0.192142737913043	0.0409472348676087	-0.96127374826087	-0.955575602173913	0.130934202854348	-0.983874698913043	-0.984124185869565	0.280062423956522	-0.971840596086956	-0.961385745217391	-0.106358909173913	-0.989861950869565	-0.989632908913043	0.1947221493	"WALKING_UPSTAIRS"
"9"	3	2	0.277911472222222	-0.0184208270166667	-0.105908536055556	-0.987271889259259	-0.957304989259259	-0.949741851296296	0.896928566851852	-0.370062696851852	0.129747161222222	-0.986685818703704	-0.97419442037037	-0.945927078703704	0.0747588597592593	0.0103291774794444	-0.00837158846722222	-0.981085715555556	-0.97105943962963	-0.982841446481482	-0.0238623875712963	-0.0820396577592593	0.0878351695481481	-0.972998629814815	-0.971441996481481	-0.964856701851852	-0.105562157888889	-0.042241953537037	-0.0546539479425926	-0.979324000740741	-0.983447258518519	-0.973610118333333	-0.965875181296296	-0.957874965	-0.965875181296296	-0.957874965	-0.980489077407407	-0.976675280185185	-0.963466341851852	-0.95394338037037	-0.983951904259259	-0.977204427777778	-0.983946739814815	-0.959871697407407	-0.962471195740741	-0.989056469814815	-0.957908842222222	-0.946433583518518	0.108519182924074	0.0623378066683333	0.104462499601852	-0.980973241666667	-0.970851337962963	-0.979775152037037	-0.983007923703704	-0.973520241111111	-0.984599905185185	0.331449281481482	-0.0569368291814815	0.0396498183462963	-0.967037112037037	-0.972576152962963	-0.960627696111111	-0.97498812462963	-0.97103605037037	-0.969754295740741	-0.107416045074074	-0.171160370096296	0.000226810610740739	-0.964052166481482	-0.960519381481482	0.119649963903704	-0.977065295555556	-0.97516046	0.304871865218519	-0.961775904814815	-0.956788725740741	-0.0661266045796296	-0.977849827407407	-0.977754298148148	0.160662823925926	"WALKING_DOWNSTAIRS"
"10"	4	2	0.276426586440678	-0.0185949199145763	-0.105500357966102	-0.423642838474576	-0.0780912533118644	-0.425257524915254	0.91301733338983	-0.34660709	0.0847270871186441	-0.972693201355932	-0.972116879661017	-0.972072847627119	0.0618080696279661	0.0182492679288136	0.00789533706610169	-0.277530462620339	-0.0166022362847458	-0.586090418983051	-0.0530258157347458	-0.0482382316949153	0.0828336633220339	-0.561550255762712	-0.53845366779661	-0.481085535084746	-0.0818833429152542	-0.0538299449067797	-0.0514939156830508	-0.389549831525424	-0.634140436101695	-0.435492677288136	-0.290407593728814	-0.422544169322034	-0.290407593728814	-0.422544169322034	-0.281424153881356	-0.164150985127119	-0.446549092881356	-0.553019916271186	-0.547911950338983	-0.557798151355932	-0.346048161016949	-0.0219048103322034	-0.453806369830508	-0.457651383728814	-0.16921968620339	-0.455222146440678	-0.14579548970339	0.198586466508475	0.0688995208186441	-0.304615322881356	-0.0787640836610169	-0.554956709661017	-0.31431306340678	-0.0153329520084746	-0.615898188474576	-0.0727101584479661	-0.263574018186441	-0.254846438755932	-0.429713536101695	-0.55477211220339	-0.396659907457627	-0.604053019152542	-0.533046952542373	-0.559856635084746	0.00727967988474576	-0.0427009322372881	0.139752115269492	-0.324289427932203	-0.577105211694915	0.393206208305085	-0.169064352813559	-0.164091969449153	0.20750092670339	-0.530704814745763	-0.651792839661017	0.305283825254237	-0.583249293389831	-0.558104554745763	0.126344614439492	"SITTING"
